"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 25 00:51:27 BRT 2022","Fri Mar 25 00:51:41 BRT 2022","14018","","cadastro","","","","cadastro com dados faltantes",""
"passed","Fri Mar 25 00:51:58 BRT 2022","Fri Mar 25 00:52:02 BRT 2022","4408","","Login","","","","login em branco",""
"passed","Fri Mar 25 00:51:54 BRT 2022","Fri Mar 25 00:51:58 BRT 2022","3371","","Login","","","","login inválido",""
"passed","Fri Mar 25 00:51:14 BRT 2022","Fri Mar 25 00:51:27 BRT 2022","12557","","cadastro","","","","cadastro com sucesso",""
"passed","Fri Mar 25 00:51:48 BRT 2022","Fri Mar 25 00:51:54 BRT 2022","6657","","Login","","","","login com sucesso",""
